Artifact,Tool,Location,version,download method,Install Method,zip-url
Network,Network Minor,https://www.netresec.com/?page=NetworkMiner#networkminer-download,NetworkMiner_3-0.zip,whit-DL-FT-urls,ZIP, https://download.netresec.com/networkminer/NetworkMiner_3-1.zip
network,tftpd64,https://github.com/gunner4361/tftpd64, tftpd64_portable_v4.74.zip,whit-DL-FT-from-gh,ZIP,https://github.com/gunner4361/tftpd64/blob/master/releases/tftpd32_portable_v4.74.zip
email,XstReader,https://github.com/gunner4361/XstReader,XstReader-master.zip,whit-DL-FT-from-gh,Zip,https://github.com/gunner4361/XstReader/archive/refs/heads/master.zip
Event Logs,Zircolite,https://github.com/wagga40/Zircolite,zircolite_win_x64_2.40.0.7z,whit-DL-FT-from-gh,Zip,https://github.com/wagga40/Zircolite/archive/refs/heads/master.zip
Event Logs,EventLook, https://github.com/kmaki565/EventLook,EventLook-bf49885fb5888e20b16b94645c74fee8167c8b0f.zip,whit-DL-FT-urls,Zip,https://github.com/kmaki565/EventLook/archive/refs/heads/master.zip
Event Logs,DeepBlueCLI,https://github.com/sans-blue-team/DeepBlueCLI,DeepBlueCLI-master.zip,whit-DL-FT-from-gh,Zip,https://github.com/sans-blue-team/DeepBlueCLI/archive/refs/heads/master.zip
Forensic,TSK,https://www.sleuthkit.org/sleuthkit/download.php,sleuthkit-4.14.0-win32.zip,whit-DL-FT-urls,Zip,https://github.com/sleuthkit/sleuthkit/releases/download/sleuthkit-4.14.0/sleuthkit-4.14.0-win32.zip
Forensics,RegRIpper+,https://github.com/gunner4361/RegRipper3.0,RegRipper3.0-master.zip,whit-DL-FT-from-gh,Zip,https://github.com/gunner4361/RegRipper3.0/archive/refs/heads/master.zip
Forensics,FIV, https://github.com/nevaran/FIV?tab=readme-ov-file,FIV.Setup.exe,whit-DL-FT-from-gh,Zip,https://github.com/nevaran/FIV/archive/refs/heads/master.zip
Forensics,SRUM,https://github.com/markbaggett/srum-dump,srum_dump.exe,whit-DL-FT-from-gh,Zip,https://github.com/MarkBaggett/srum-dump/archive/refs/heads/master.zip
Forensics,Many,https://github.com/DidierStevens/DidierStevensSuite,DidierStevensSuite-master.zip,whit-DL-FT-from-gh,Zip,https://github.com/DidierStevens/DidierStevensSuite/archive/refs/heads/master.zip
Malware,PEStudio,https://www.winitor.com/download2,pestudio.zip,manual,Zip,https://www.winitor.com/tools/pestudio/current/pestudio.zip
Memory,MemProcFS,https://github.com/ufrisk/MemProcFS,Version 5.16   MemProcFS_files_and_binaries-win_x64-latest.zip,whit-DL-FT-urls,Zip,https://github.com/ufrisk/MemProcFS/releases/download/v5.16/MemProcFS_files_and_binaries-win_x64-latest.zip
Memory,Volatility 2.6,https://github.com/volatilityfoundation/volatility/releases/download/2.6.1/volatility_2.6_win64_standalone.zip,,whit-DL-FT-urls,Zip,https://github.com/volatilityfoundation/volatility/releases/download/2.6.1/volatility_2.6_win64_standalone.zip
Memory,Volatility 3.0,https://github.com/volatilityfoundation/volatility3,,whit-DL-FT-from-gh,,https://github.com/volatilityfoundation/volatility3/archive/refs/heads/develop.zip
Network,Network Miner,https://github.com/hatnetsec/NetworkMiner,NetworkMiner-master.zip,whit-DL-FT-from-gh,Zip,https://github.com/hatnetsec/NetworkMiner/archive/refs/heads/master.zip
Util,Rufus,https://rufus.ie/en/,rufus-4.11p.exe,manual,Zip,
,REMUX, https://remnux.org/,,manual,ISO,
,SIFT OVA,https://sansorg.egnyte.com/dl/4VVBRyyhfM36,,manual,Zip,
,SOF-ELK,https://github.com/philhagen/sof-elk,,manual,Zip,
,,https://www.sans.org/tools/sift-workstation,,, ,
,,https://github.com/fox-it/dissect/releases,,,,
,"glogg - the fast, smart log explorer",https://glogg.bonnefon.org/download.html,,,,
,,https://github.com/Beercow/DFIR_Toolbar/releases/tag/v2025.10.14,DFIR_Toolbar.zip,,,
,,https://sourceforge.net/projects/exiftool/files/exiftool-13.42_64.zip/download,exiftool-13.42_64.zip,winget,https://sourceforge.net/projects/exiftool/files/exiftool-13.50_64.zip/download,
,,https://www.pstwalker.com/download.html,,,,
,,https://www.lizard-labs.com/download_page.aspx?productcode=elob,EventLogObserverSetup.msi,,,
,,,,,https://www.nirsoft.net/toolsdownload/credentialsfileview-x64.zip,
,,,,,https://www.nirsoft.net/utils/browsinghistoryview-x64.zip,
,FullEventLogView , ,,,https://www.nirsoft.net/utils/fulleventlogview-x64.zip,
,Microsoft Logparser, https://www.microsoft.com/en-ca/download/details.aspx?id=24659,LogParser.msi,,,
,Log Parser Lizard,https://www.lizard-labs.com/log_parser_lizard.aspx,LogParserLizardSetup.msi,,,
,,https://github.com/PoorBillionaire/Windows-Prefetch-Parser,Windows-Prefetch-Parser-master.zip,,zip,
,,https://github.com/obsidianforensics/hindsight,NEED TO REVIW,,,
